customer_id,customer_name,customer_email,industry_type,customer_priority_class,contract_type,preferred_transport_mode,credit_rating,region,destination_city
CUST-0022,Shapoorji Pallonji,logistics@shapoorji.com,Construction,Medium,Annual,Rail,A,Gujarat,Rajkot
CUST-0023,Gammon India,supply@gammonindia.com,Construction,High,Annual,Road,A,Tamil Nadu,Coimbatore
CUST-0024,Afcons Infrastructure,materials@afcons.com,Construction,Low,Quarterly,Road,BBB,Madhya Pradesh,Jabalpur
CUST-0025,IRB Infrastructure,logistics@irb.co.in,Infrastructure,Low,Long-Term,Road,AAA,Madhya Pradesh,Gwalior
CUST-0026,HCC Ltd,procurement@hccindia.com,Construction,Medium,Long-Term,Rail,BBB,Andhra Pradesh,Vijayawada
CUST-0027,NCC Ltd,supply@nccltd.in,Construction,Medium,Quarterly,Rail,A,Rajasthan,Jodhpur
CUST-0028,Dilip Buildcon,logistics@dilipbuildcon.com,Infrastructure,Low,Annual,Rail,AA,Tamil Nadu,Madurai
CUST-0029,PNC Infratech,materials@pncinfratech.com,Infrastructure,Medium,Quarterly,Rail,BBB,Chhattisgarh,Raipur
CUST-0030,Ashoka Buildcon,freight@ashokabuildcon.com,Infrastructure,Medium,Quarterly,Rail,BBB,Rajasthan,Kota
CUST-0031,Indian Railways (SCR),gm.scr@indianrailways.gov.in,Railways,High,Spot,Rail,AA,Jharkhand,Ranchi
CUST-0032,Indian Railways (ECR),gm.ecr@indianrailways.gov.in,Railways,High,Annual,Rail,BBB,West Bengal,Howrah
CUST-0033,Indian Railways (WR),gm.wr@indianrailways.gov.in,Railways,High,Annual,Road,A,Jharkhand,Dhanbad
CUST-0034,DRDO Pune,logistics@drdo.gov.in,Defence,High,Long-Term,Rail,A,Jharkhand,Jamshedpur
CUST-0035,HAL Bengaluru,materials@hal-india.co.in,Defence,High,Spot,Rail,BB,Chhattisgarh,Bhilai
CUST-0036,BEL Hyderabad,procurement@bel-india.in,Defence,High,Annual,Road,AA,West Bengal,Durgapur
CUST-0037,BEML Bengaluru,supply@beml.co.in,Defence,Low,Long-Term,Road,BBB,Odisha,Rourkela
CUST-0038,Maruti Suzuki,supply.chain@maruti.co.in,Automotive,Low,Annual,Rail,AA,Uttar Pradesh,Allahabad
CUST-0039,Tata Motors,vendor@tatamotors.com,Automotive,High,Spot,Rail,BBB,Uttar Pradesh,Varanasi
CUST-0040,Mahindra & Mahindra,supply@mahindra.com,Automotive,Medium,Annual,Road,A,Jharkhand,Bokaro
CUST-0041,Hero MotoCorp,procurement@heromotocorp.com,Automotive,High,Spot,Road,AA,Maharashtra,Mumbai
CUST-0042,Bajaj Auto,vendor@bajajauto.com,Automotive,Low,Annual,Road,A,Delhi,Delhi
CUST-0043,TVS Motor,supply@tvsmotor.com,Automotive,Low,Annual,Rail,AA,West Bengal,Kolkata
CUST-0044,Ashok Leyland,materials@ashokleyland.com,Automotive,Medium,Annual,Rail,AAA,Tamil Nadu,Chennai
CUST-0045,Kirloskar Brothers,purchase@kirloskarbros.com,Manufacturing,High,Quarterly,Road,AAA,Telangana,Hyderabad
CUST-0046,Thermax Ltd,procurement@thermax.com,Manufacturing,Low,Annual,Rail,AA,Maharashtra,Pune
CUST-0047,Cummins India,vendor@cummins.com,Manufacturing,Medium,Long-Term,Rail,AAA,Gujarat,Ahmedabad
CUST-0048,ABB India,supply@abb.com,Manufacturing,Low,Spot,Rail,AA,Gujarat,Surat
CUST-0049,Siemens India,logistics@siemens.com,Manufacturing,Low,Spot,Road,A,Rajasthan,Jaipur
CUST-0050,Alstom India,procurement@alstom.com,Manufacturing,Low,Spot,Rail,A,Uttar Pradesh,Lucknow
CUST-0051,Tata Steel Ltd Unit-2,procurement@tatasteel.com,Steel,High,Quarterly,Rail,A,Uttar Pradesh,Kanpur
CUST-0052,JSW Steel Unit-2,logistics@jsw.in,Steel,High,Long-Term,Rail,AA,Maharashtra,Nagpur
CUST-0053,RINL Vizag Unit-2,dispatch@rinl.co.in,Steel,High,Quarterly,Rail,BBB,Andhra Pradesh,Visakhapatnam
CUST-0054,JSPL Raigarh Unit-2,supply@jspl.com,Steel,Medium,Long-Term,Road,A,Madhya Pradesh,Bhopal
CUST-0055,Essar Steel Unit-2,freight@essar.com,Steel,Medium,Quarterly,Rail,AAA,Bihar,Patna
CUST-0056,SAIL Durgapur Unit-2,logistics.dsp@sail.in,Steel,High,Spot,Road,AAA,Punjab,Ludhiana
CUST-0057,Bhushan Steel Unit-2,purchase@bhushansteel.com,Steel,Medium,Spot,Rail,A,Uttar Pradesh,Agra
CUST-0058,Uttam Galva Unit-2,supply@uttamgalva.com,Steel,High,Quarterly,Road,AA,Gujarat,Vadodara
CUST-0059,Rashtriya Ispat Nigam Unit-2,logistics@rinl.co.in,Steel,Low,Quarterly,Rail,A,Maharashtra,Nashik
CUST-0060,Kalyani Steels Unit-2,procurement@kalyanisteels.com,Steel,Low,Quarterly,Rail,BB,Haryana,Faridabad
CUST-0061,Mahindra Steel Unit-2,steel.logistics@mahindra.com,Steel,Low,Spot,Road,AAA,Uttar Pradesh,Meerut
CUST-0062,L&T Construction Unit-2,materials@larsentoubro.com,Construction,Low,Annual,Road,AAA,Gujarat,Rajkot
CUST-0063,Adani Ports Unit-2,freight@adaniports.com,Infrastructure,Medium,Long-Term,Rail,BB,Tamil Nadu,Coimbatore
CUST-0064,GMR Infrastructure Unit-2,logistics@gmrgroup.in,Infrastructure,Low,Annual,Road,A,Madhya Pradesh,Jabalpur
CUST-0065,Hindustan Zinc Unit-2,purchase@hindzinc.com,Mining,Medium,Quarterly,Road,AAA,Madhya Pradesh,Gwalior
CUST-0066,Vedanta Resources Unit-2,supply@vedanta.co.in,Mining,High,Annual,Rail,BBB,Andhra Pradesh,Vijayawada
CUST-0067,NMDC Ltd Unit-2,logistics@nmdc.co.in,Mining,Medium,Annual,Road,BBB,Rajasthan,Jodhpur
CUST-0068,Coal India Ltd Unit-2,material@coalindia.in,Mining,Medium,Annual,Rail,A,Tamil Nadu,Madurai
CUST-0069,NTPC Ltd Unit-2,procurement@ntpc.co.in,Power,High,Spot,Rail,A,Chhattisgarh,Raipur
CUST-0070,BHEL Trichy Unit-2,materials.trichy@bhel.in,Manufacturing,High,Spot,Rail,AA,Rajasthan,Kota
CUST-0071,Larsen & Toubro Unit-2,procurement@lntecc.com,Construction,Medium,Quarterly,Road,AAA,Jharkhand,Ranchi
CUST-0072,Shapoorji Pallonji Unit-2,logistics@shapoorji.com,Construction,High,Long-Term,Rail,A,West Bengal,Howrah
CUST-0073,Gammon India Unit-2,supply@gammonindia.com,Construction,Medium,Long-Term,Road,AA,Jharkhand,Dhanbad
CUST-0074,Afcons Infrastructure Unit-2,materials@afcons.com,Construction,High,Annual,Rail,A,Jharkhand,Jamshedpur
CUST-0075,IRB Infrastructure Unit-2,logistics@irb.co.in,Infrastructure,Low,Annual,Rail,BBB,Chhattisgarh,Bhilai
CUST-0076,HCC Ltd Unit-2,procurement@hccindia.com,Construction,Medium,Long-Term,Rail,AAA,West Bengal,Durgapur
CUST-0077,NCC Ltd Unit-2,supply@nccltd.in,Construction,High,Quarterly,Road,A,Odisha,Rourkela
CUST-0078,Dilip Buildcon Unit-2,logistics@dilipbuildcon.com,Infrastructure,High,Spot,Rail,AA,Uttar Pradesh,Allahabad
CUST-0079,PNC Infratech Unit-2,materials@pncinfratech.com,Infrastructure,Medium,Quarterly,Rail,BBB,Uttar Pradesh,Varanasi
CUST-0080,Ashoka Buildcon Unit-2,freight@ashokabuildcon.com,Infrastructure,Low,Annual,Road,AA,Jharkhand,Bokaro
CUST-0081,Indian Railways (SCR) Unit-2,gm.scr@indianrailways.gov.in,Railways,High,Annual,Road,A,Maharashtra,Mumbai
CUST-0082,Indian Railways (ECR) Unit-2,gm.ecr@indianrailways.gov.in,Railways,High,Quarterly,Road,A,Delhi,Delhi
CUST-0083,Indian Railways (WR) Unit-2,gm.wr@indianrailways.gov.in,Railways,High,Annual,Road,AA,West Bengal,Kolkata
CUST-0084,DRDO Pune Unit-2,logistics@drdo.gov.in,Defence,High,Annual,Rail,A,Tamil Nadu,Chennai
CUST-0085,HAL Bengaluru Unit-2,materials@hal-india.co.in,Defence,High,Long-Term,Rail,A,Telangana,Hyderabad
CUST-0086,BEL Hyderabad Unit-2,procurement@bel-india.in,Defence,Low,Quarterly,Road,A,Maharashtra,Pune
CUST-0087,BEML Bengaluru Unit-2,supply@beml.co.in,Defence,High,Spot,Road,BBB,Gujarat,Ahmedabad
CUST-0088,Maruti Suzuki Unit-2,supply.chain@maruti.co.in,Automotive,High,Annual,Road,BB,Gujarat,Surat
CUST-0089,Tata Motors Unit-2,vendor@tatamotors.com,Automotive,Low,Quarterly,Rail,A,Rajasthan,Jaipur
CUST-0090,Mahindra & Mahindra Unit-2,supply@mahindra.com,Automotive,Low,Quarterly,Rail,A,Uttar Pradesh,Lucknow
CUST-0091,Hero MotoCorp Unit-2,procurement@heromotocorp.com,Automotive,Medium,Quarterly,Rail,AAA,Uttar Pradesh,Kanpur
CUST-0092,Bajaj Auto Unit-2,vendor@bajajauto.com,Automotive,Low,Quarterly,Rail,BBB,Maharashtra,Nagpur
CUST-0093,TVS Motor Unit-2,supply@tvsmotor.com,Automotive,Low,Annual,Road,A,Andhra Pradesh,Visakhapatnam
CUST-0094,Ashok Leyland Unit-2,materials@ashokleyland.com,Automotive,Medium,Quarterly,Rail,A,Madhya Pradesh,Bhopal
CUST-0095,Kirloskar Brothers Unit-2,purchase@kirloskarbros.com,Manufacturing,Low,Long-Term,Rail,AAA,Bihar,Patna
CUST-0096,Thermax Ltd Unit-2,procurement@thermax.com,Manufacturing,High,Quarterly,Rail,BBB,Punjab,Ludhiana
CUST-0097,Cummins India Unit-2,vendor@cummins.com,Manufacturing,High,Spot,Road,AA,Uttar Pradesh,Agra
CUST-0098,ABB India Unit-2,supply@abb.com,Manufacturing,Low,Quarterly,Road,A,Gujarat,Vadodara
CUST-0099,Siemens India Unit-2,logistics@siemens.com,Manufacturing,Medium,Spot,Rail,AAA,Maharashtra,Nashik
CUST-0100,Alstom India Unit-2,procurement@alstom.com,Manufacturing,High,Spot,Rail,BB,Haryana,Faridabad
CUST-0101,Tata Steel Ltd Unit-3,procurement@tatasteel.com,Steel,High,Spot,Rail,AA,Uttar Pradesh,Meerut
CUST-0102,JSW Steel Unit-3,logistics@jsw.in,Steel,High,Quarterly,Rail,AA,Gujarat,Rajkot
CUST-0103,RINL Vizag Unit-3,dispatch@rinl.co.in,Steel,High,Spot,Road,BBB,Tamil Nadu,Coimbatore
CUST-0104,JSPL Raigarh Unit-3,supply@jspl.com,Steel,High,Annual,Rail,BBB,Madhya Pradesh,Jabalpur
CUST-0105,Essar Steel Unit-3,freight@essar.com,Steel,Low,Quarterly,Rail,AA,Madhya Pradesh,Gwalior
CUST-0106,SAIL Durgapur Unit-3,logistics.dsp@sail.in,Steel,Low,Spot,Rail,A,Andhra Pradesh,Vijayawada
CUST-0107,Bhushan Steel Unit-3,purchase@bhushansteel.com,Steel,Low,Long-Term,Rail,A,Rajasthan,Jodhpur
CUST-0108,Uttam Galva Unit-3,supply@uttamgalva.com,Steel,Medium,Spot,Road,BBB,Tamil Nadu,Madurai
CUST-0109,Rashtriya Ispat Nigam Unit-3,logistics@rinl.co.in,Steel,Medium,Quarterly,Road,AA,Chhattisgarh,Raipur
CUST-0110,Kalyani Steels Unit-3,procurement@kalyanisteels.com,Steel,Low,Quarterly,Rail,A,Rajasthan,Kota
CUST-0111,Mahindra Steel Unit-3,steel.logistics@mahindra.com,Steel,High,Quarterly,Rail,A,Jharkhand,Ranchi
CUST-0112,L&T Construction Unit-3,materials@larsentoubro.com,Construction,Low,Long-Term,Rail,A,West Bengal,Howrah
CUST-0113,Adani Ports Unit-3,freight@adaniports.com,Infrastructure,Medium,Quarterly,Rail,BBB,Jharkhand,Dhanbad
CUST-0114,GMR Infrastructure Unit-3,logistics@gmrgroup.in,Infrastructure,Medium,Long-Term,Rail,A,Jharkhand,Jamshedpur
CUST-0115,Hindustan Zinc Unit-3,purchase@hindzinc.com,Mining,Medium,Spot,Rail,AAA,Chhattisgarh,Bhilai
CUST-0116,Vedanta Resources Unit-3,supply@vedanta.co.in,Mining,Medium,Spot,Rail,BBB,West Bengal,Durgapur
CUST-0117,NMDC Ltd Unit-3,logistics@nmdc.co.in,Mining,Medium,Annual,Road,BBB,Odisha,Rourkela
CUST-0118,Coal India Ltd Unit-3,material@coalindia.in,Mining,Medium,Long-Term,Rail,BBB,Uttar Pradesh,Allahabad
CUST-0119,NTPC Ltd Unit-3,procurement@ntpc.co.in,Power,High,Annual,Road,AAA,Uttar Pradesh,Varanasi
CUST-0120,BHEL Trichy Unit-3,materials.trichy@bhel.in,Manufacturing,High,Annual,Rail,AA,Jharkhand,Bokaro
CUST-0121,Larsen & Toubro Unit-3,procurement@lntecc.com,Construction,Medium,Long-Term,Rail,A,Maharashtra,Mumbai
CUST-0122,Shapoorji Pallonji Unit-3,logistics@shapoorji.com,Construction,Low,Long-Term,Rail,AAA,Delhi,Delhi
CUST-0123,Gammon India Unit-3,supply@gammonindia.com,Construction,Medium,Annual,Rail,BB,West Bengal,Kolkata
CUST-0124,Afcons Infrastructure Unit-3,materials@afcons.com,Construction,Medium,Long-Term,Rail,AA,Tamil Nadu,Chennai
CUST-0125,IRB Infrastructure Unit-3,logistics@irb.co.in,Infrastructure,Low,Spot,Road,A,Telangana,Hyderabad
CUST-0126,HCC Ltd Unit-3,procurement@hccindia.com,Construction,Medium,Annual,Road,BBB,Maharashtra,Pune
CUST-0127,NCC Ltd Unit-3,supply@nccltd.in,Construction,High,Long-Term,Road,AA,Gujarat,Ahmedabad
CUST-0128,Dilip Buildcon Unit-3,logistics@dilipbuildcon.com,Infrastructure,Low,Long-Term,Rail,AA,Gujarat,Surat
CUST-0129,PNC Infratech Unit-3,materials@pncinfratech.com,Infrastructure,Medium,Spot,Rail,A,Rajasthan,Jaipur
CUST-0130,Ashoka Buildcon Unit-3,freight@ashokabuildcon.com,Infrastructure,Medium,Long-Term,Rail,A,Uttar Pradesh,Lucknow
CUST-0131,Indian Railways (SCR) Unit-3,gm.scr@indianrailways.gov.in,Railways,High,Spot,Rail,A,Uttar Pradesh,Kanpur
CUST-0132,Indian Railways (ECR) Unit-3,gm.ecr@indianrailways.gov.in,Railways,High,Long-Term,Road,A,Maharashtra,Nagpur
CUST-0133,Indian Railways (WR) Unit-3,gm.wr@indianrailways.gov.in,Railways,High,Long-Term,Road,BBB,Andhra Pradesh,Visakhapatnam
CUST-0134,DRDO Pune Unit-3,logistics@drdo.gov.in,Defence,High,Long-Term,Road,A,Madhya Pradesh,Bhopal
CUST-0135,HAL Bengaluru Unit-3,materials@hal-india.co.in,Defence,High,Annual,Rail,AA,Bihar,Patna
CUST-0136,BEL Hyderabad Unit-3,procurement@bel-india.in,Defence,High,Spot,Rail,AA,Punjab,Ludhiana
CUST-0137,BEML Bengaluru Unit-3,supply@beml.co.in,Defence,Medium,Annual,Road,AA,Uttar Pradesh,Agra
CUST-0138,Maruti Suzuki Unit-3,supply.chain@maruti.co.in,Automotive,High,Long-Term,Rail,AAA,Gujarat,Vadodara
CUST-0139,Tata Motors Unit-3,vendor@tatamotors.com,Automotive,Medium,Quarterly,Road,AA,Maharashtra,Nashik
CUST-0140,Mahindra & Mahindra Unit-3,supply@mahindra.com,Automotive,Medium,Quarterly,Rail,A,Haryana,Faridabad
CUST-0141,Hero MotoCorp Unit-3,procurement@heromotocorp.com,Automotive,Low,Spot,Road,AA,Uttar Pradesh,Meerut
CUST-0142,Bajaj Auto Unit-3,vendor@bajajauto.com,Automotive,High,Quarterly,Rail,BB,Gujarat,Rajkot
CUST-0143,TVS Motor Unit-3,supply@tvsmotor.com,Automotive,High,Quarterly,Road,AA,Tamil Nadu,Coimbatore
CUST-0144,Ashok Leyland Unit-3,materials@ashokleyland.com,Automotive,Medium,Long-Term,Road,AAA,Madhya Pradesh,Jabalpur
CUST-0145,Kirloskar Brothers Unit-3,purchase@kirloskarbros.com,Manufacturing,Low,Quarterly,Rail,BBB,Madhya Pradesh,Gwalior
CUST-0146,Thermax Ltd Unit-3,procurement@thermax.com,Manufacturing,Low,Long-Term,Rail,BBB,Andhra Pradesh,Vijayawada
CUST-0147,Cummins India Unit-3,vendor@cummins.com,Manufacturing,High,Long-Term,Rail,AA,Rajasthan,Jodhpur
CUST-0148,ABB India Unit-3,supply@abb.com,Manufacturing,High,Spot,Road,AA,Tamil Nadu,Madurai
CUST-0149,Siemens India Unit-3,logistics@siemens.com,Manufacturing,Low,Quarterly,Road,AA,Chhattisgarh,Raipur
CUST-0150,Alstom India Unit-3,procurement@alstom.com,Manufacturing,High,Quarterly,Road,A,Rajasthan,Kota
CUST-0151,Tata Steel Ltd Unit-4,procurement@tatasteel.com,Steel,High,Long-Term,Rail,A,Jharkhand,Ranchi
CUST-0152,JSW Steel Unit-4,logistics@jsw.in,Steel,High,Spot,Rail,AA,West Bengal,Howrah
CUST-0153,RINL Vizag Unit-4,dispatch@rinl.co.in,Steel,High,Annual,Rail,AAA,Jharkhand,Dhanbad
CUST-0154,JSPL Raigarh Unit-4,supply@jspl.com,Steel,High,Quarterly,Road,A,Jharkhand,Jamshedpur
CUST-0155,Essar Steel Unit-4,freight@essar.com,Steel,Medium,Spot,Rail,BB,Chhattisgarh,Bhilai
CUST-0156,SAIL Durgapur Unit-4,logistics.dsp@sail.in,Steel,Medium,Spot,Rail,A,West Bengal,Durgapur
CUST-0157,Bhushan Steel Unit-4,purchase@bhushansteel.com,Steel,High,Quarterly,Rail,A,Odisha,Rourkela
CUST-0158,Uttam Galva Unit-4,supply@uttamgalva.com,Steel,Medium,Spot,Road,AAA,Uttar Pradesh,Allahabad
CUST-0159,Rashtriya Ispat Nigam Unit-4,logistics@rinl.co.in,Steel,Medium,Annual,Rail,AA,Uttar Pradesh,Varanasi
CUST-0160,Kalyani Steels Unit-4,procurement@kalyanisteels.com,Steel,Low,Long-Term,Rail,AA,Jharkhand,Bokaro
CUST-0161,Mahindra Steel Unit-4,steel.logistics@mahindra.com,Steel,Low,Annual,Rail,BBB,Maharashtra,Mumbai
CUST-0162,L&T Construction Unit-4,materials@larsentoubro.com,Construction,Medium,Spot,Rail,BBB,Delhi,Delhi
CUST-0163,Adani Ports Unit-4,freight@adaniports.com,Infrastructure,Medium,Annual,Road,BBB,West Bengal,Kolkata
CUST-0164,GMR Infrastructure Unit-4,logistics@gmrgroup.in,Infrastructure,Medium,Annual,Rail,BB,Tamil Nadu,Chennai
CUST-0165,Hindustan Zinc Unit-4,purchase@hindzinc.com,Mining,Medium,Spot,Rail,BB,Telangana,Hyderabad
CUST-0166,Vedanta Resources Unit-4,supply@vedanta.co.in,Mining,Low,Spot,Rail,BB,Maharashtra,Pune
CUST-0167,NMDC Ltd Unit-4,logistics@nmdc.co.in,Mining,Medium,Spot,Rail,AAA,Gujarat,Ahmedabad
CUST-0168,Coal India Ltd Unit-4,material@coalindia.in,Mining,Medium,Quarterly,Rail,AAA,Gujarat,Surat
CUST-0169,NTPC Ltd Unit-4,procurement@ntpc.co.in,Power,High,Quarterly,Road,AA,Rajasthan,Jaipur
CUST-0170,BHEL Trichy Unit-4,materials.trichy@bhel.in,Manufacturing,High,Annual,Road,A,Uttar Pradesh,Lucknow
CUST-0171,Larsen & Toubro Unit-4,procurement@lntecc.com,Construction,Medium,Quarterly,Rail,AAA,Uttar Pradesh,Kanpur
CUST-0172,Shapoorji Pallonji Unit-4,logistics@shapoorji.com,Construction,High,Spot,Rail,BBB,Maharashtra,Nagpur
CUST-0173,Gammon India Unit-4,supply@gammonindia.com,Construction,Low,Spot,Rail,A,Andhra Pradesh,Visakhapatnam
CUST-0174,Afcons Infrastructure Unit-4,materials@afcons.com,Construction,Low,Annual,Rail,A,Madhya Pradesh,Bhopal
CUST-0175,IRB Infrastructure Unit-4,logistics@irb.co.in,Infrastructure,Low,Spot,Rail,AA,Bihar,Patna
CUST-0176,HCC Ltd Unit-4,procurement@hccindia.com,Construction,Medium,Spot,Rail,AA,Punjab,Ludhiana
CUST-0177,NCC Ltd Unit-4,supply@nccltd.in,Construction,Low,Spot,Rail,AA,Uttar Pradesh,Agra
CUST-0178,Dilip Buildcon Unit-4,logistics@dilipbuildcon.com,Infrastructure,High,Annual,Rail,BBB,Gujarat,Vadodara
CUST-0179,PNC Infratech Unit-4,materials@pncinfratech.com,Infrastructure,Low,Spot,Rail,A,Maharashtra,Nashik
CUST-0180,Ashoka Buildcon Unit-4,freight@ashokabuildcon.com,Infrastructure,Medium,Quarterly,Rail,A,Haryana,Faridabad
CUST-0181,Indian Railways (SCR) Unit-4,gm.scr@indianrailways.gov.in,Railways,High,Spot,Rail,AA,Uttar Pradesh,Meerut
CUST-0182,Indian Railways (ECR) Unit-4,gm.ecr@indianrailways.gov.in,Railways,High,Annual,Road,AA,Gujarat,Rajkot
CUST-0183,Indian Railways (WR) Unit-4,gm.wr@indianrailways.gov.in,Railways,High,Quarterly,Road,A,Tamil Nadu,Coimbatore
CUST-0184,DRDO Pune Unit-4,logistics@drdo.gov.in,Defence,High,Quarterly,Rail,BBB,Madhya Pradesh,Jabalpur
CUST-0185,HAL Bengaluru Unit-4,materials@hal-india.co.in,Defence,High,Annual,Rail,BBB,Madhya Pradesh,Gwalior
CUST-0186,BEL Hyderabad Unit-4,procurement@bel-india.in,Defence,Medium,Quarterly,Rail,AA,Andhra Pradesh,Vijayawada
CUST-0187,BEML Bengaluru Unit-4,supply@beml.co.in,Defence,High,Long-Term,Rail,BBB,Rajasthan,Jodhpur
CUST-0188,Maruti Suzuki Unit-4,supply.chain@maruti.co.in,Automotive,Medium,Spot,Rail,AAA,Tamil Nadu,Madurai
CUST-0189,Tata Motors Unit-4,vendor@tatamotors.com,Automotive,High,Long-Term,Rail,BBB,Chhattisgarh,Raipur
CUST-0190,Mahindra & Mahindra Unit-4,supply@mahindra.com,Automotive,High,Quarterly,Rail,AAA,Rajasthan,Kota
CUST-0191,Hero MotoCorp Unit-4,procurement@heromotocorp.com,Automotive,Low,Quarterly,Rail,AA,Jharkhand,Ranchi
CUST-0192,Bajaj Auto Unit-4,vendor@bajajauto.com,Automotive,Medium,Quarterly,Rail,BBB,West Bengal,Howrah
CUST-0193,TVS Motor Unit-4,supply@tvsmotor.com,Automotive,Medium,Quarterly,Rail,AA,Jharkhand,Dhanbad
CUST-0194,Ashok Leyland Unit-4,materials@ashokleyland.com,Automotive,Medium,Quarterly,Road,A,Jharkhand,Jamshedpur
CUST-0195,Kirloskar Brothers Unit-4,purchase@kirloskarbros.com,Manufacturing,Low,Annual,Rail,A,Chhattisgarh,Bhilai
CUST-0196,Thermax Ltd Unit-4,procurement@thermax.com,Manufacturing,High,Long-Term,Rail,AA,West Bengal,Durgapur
CUST-0197,Cummins India Unit-4,vendor@cummins.com,Manufacturing,Medium,Spot,Road,A,Odisha,Rourkela
CUST-0198,ABB India Unit-4,supply@abb.com,Manufacturing,High,Spot,Road,BBB,Uttar Pradesh,Allahabad
CUST-0199,Siemens India Unit-4,logistics@siemens.com,Manufacturing,Medium,Annual,Road,BBB,Uttar Pradesh,Varanasi
CUST-0200,Alstom India Unit-4,procurement@alstom.com,Manufacturing,Low,Annual,Rail,AA,Jharkhand,Bokaro
CUST-0201,Tata Steel Ltd Unit-5,procurement@tatasteel.com,Steel,High,Spot,Road,A,Maharashtra,Mumbai
CUST-0202,JSW Steel Unit-5,logistics@jsw.in,Steel,High,Spot,Rail,AA,Delhi,Delhi
CUST-0203,RINL Vizag Unit-5,dispatch@rinl.co.in,Steel,High,Annual,Road,AA,West Bengal,Kolkata
CUST-0204,JSPL Raigarh Unit-5,supply@jspl.com,Steel,Low,Annual,Road,AA,Tamil Nadu,Chennai
CUST-0205,Essar Steel Unit-5,freight@essar.com,Steel,Medium,Annual,Rail,BBB,Telangana,Hyderabad
CUST-0206,SAIL Durgapur Unit-5,logistics.dsp@sail.in,Steel,High,Spot,Road,BBB,Maharashtra,Pune
CUST-0207,Bhushan Steel Unit-5,purchase@bhushansteel.com,Steel,Low,Annual,Rail,BBB,Gujarat,Ahmedabad
CUST-0208,Uttam Galva Unit-5,supply@uttamgalva.com,Steel,Low,Spot,Road,A,Gujarat,Surat
CUST-0209,Rashtriya Ispat Nigam Unit-5,logistics@rinl.co.in,Steel,High,Long-Term,Rail,A,Rajasthan,Jaipur
CUST-0210,Kalyani Steels Unit-5,procurement@kalyanisteels.com,Steel,Low,Long-Term,Road,A,Uttar Pradesh,Lucknow
CUST-0211,Mahindra Steel Unit-5,steel.logistics@mahindra.com,Steel,High,Spot,Rail,A,Uttar Pradesh,Kanpur
CUST-0212,L&T Construction Unit-5,materials@larsentoubro.com,Construction,Low,Spot,Road,A,Maharashtra,Nagpur
CUST-0213,Adani Ports Unit-5,freight@adaniports.com,Infrastructure,Low,Spot,Rail,AAA,Andhra Pradesh,Visakhapatnam
CUST-0214,GMR Infrastructure Unit-5,logistics@gmrgroup.in,Infrastructure,Medium,Quarterly,Road,AAA,Madhya Pradesh,Bhopal
